image_id,qid,answer,ablate_cells,board_rows,board_cols,board
quad_w_queen_010,q1,1,"[[1, 7]]",8,8,b_rook|black_sq|b_bishop|black_sq|b_king|b_bishop|b_rook|black_sq/b_pawn|b_pawn|black_sq|b_pawn|black_sq|b_pawn|black_sq|w_queen/b_knight|black_sq|white_sq|black_sq|b_pawn|black_sq|b_pawn|b_pawn/black_sq|white_sq|b_pawn|white_sq|w_pawn|white_sq|black_sq|b_queen/w_knight|black_sq|w_pawn|black_sq|white_sq|black_sq|b_knight|black_sq/w_pawn|white_sq|black_sq|white_sq|black_sq|w_king|black_sq|w_knight/white_sq|w_pawn|white_sq|w_pawn|white_sq|w_pawn|w_pawn|w_pawn/w_rook|white_sq|w_bishop|white_sq|black_sq|w_bishop|black_sq|w_rook
quad_w_queen_011,q1,3,"[[5, 5]]",8,8,b_rook|b_knight|b_bishop|b_queen|b_king|b_bishop|b_knight|b_rook/b_pawn|b_pawn|b_pawn|white_sq|b_pawn|b_pawn|black_sq|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|b_pawn/black_sq|white_sq|black_sq|b_pawn|black_sq|white_sq|b_pawn|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|w_pawn|white_sq|black_sq/black_sq|white_sq|w_pawn|white_sq|black_sq|w_queen|w_pawn|white_sq/w_pawn|w_pawn|white_sq|w_pawn|w_pawn|black_sq|white_sq|w_pawn/w_rook|w_knight|w_bishop|white_sq|w_king|w_bishop|w_knight|w_rook
quad_w_queen_012,q1,1,"[[0, 4]]",8,8,white_sq|black_sq|white_sq|black_sq|w_queen|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|b_bishop|white_sq|b_pawn|b_rook/white_sq|black_sq|white_sq|b_pawn|b_king|black_sq|white_sq|b_knight/b_pawn|white_sq|black_sq|white_sq|black_sq|b_pawn|w_pawn|white_sq/b_knight|b_pawn|white_sq|black_sq|white_sq|black_sq|b_bishop|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|w_pawn|w_rook|white_sq/white_sq|w_bishop|white_sq|black_sq|w_king|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|w_knight|white_sq
quad_w_queen_013,q1,2,"[[4, 1]]",8,8,w_rook|black_sq|b_knight|black_sq|white_sq|black_sq|b_rook|black_sq/black_sq|white_sq|b_king|white_sq|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|b_pawn|white_sq|b_pawn|b_pawn|black_sq/b_bishop|white_sq|black_sq|white_sq|black_sq|white_sq|w_pawn|b_pawn/white_sq|w_queen|white_sq|w_pawn|white_sq|black_sq|white_sq|w_pawn/black_sq|white_sq|black_sq|white_sq|w_pawn|b_bishop|black_sq|white_sq/white_sq|w_pawn|w_king|w_bishop|w_bishop|black_sq|white_sq|black_sq/black_sq|w_knight|black_sq|white_sq|w_knight|white_sq|black_sq|white_sq
quad_w_queen_014,q1,2,"[[4, 0]]",8,8,white_sq|black_sq|b_queen|b_rook|white_sq|black_sq|white_sq|black_sq/b_rook|b_pawn|black_sq|white_sq|b_king|white_sq|black_sq|white_sq/b_pawn|black_sq|b_bishop|b_pawn|white_sq|b_bishop|white_sq|black_sq/black_sq|w_bishop|b_pawn|white_sq|black_sq|white_sq|black_sq|w_knight/w_queen|black_sq|w_pawn|black_sq|b_pawn|w_pawn|white_sq|b_pawn/w_pawn|white_sq|black_sq|white_sq|black_sq|white_sq|w_pawn|w_pawn/white_sq|black_sq|white_sq|w_bishop|white_sq|w_rook|white_sq|black_sq/w_rook|w_knight|black_sq|w_king|black_sq|white_sq|black_sq|white_sq
quad_w_queen_015,q1,1,"[[1, 4]]",8,8,b_knight|b_rook|b_bishop|black_sq|white_sq|black_sq|b_rook|black_sq/b_pawn|b_pawn|black_sq|white_sq|w_queen|b_king|black_sq|b_pawn/white_sq|black_sq|b_queen|black_sq|b_pawn|black_sq|white_sq|black_sq/w_pawn|white_sq|b_pawn|b_pawn|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|w_pawn|w_pawn|w_pawn|black_sq|b_pawn|w_pawn/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|b_bishop|w_knight/white_sq|w_pawn|white_sq|w_rook|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|w_bishop|white_sq|black_sq|w_bishop|w_king|w_knight
quad_w_queen_016,q1,1,"[[0, 7]]",8,8,white_sq|b_knight|white_sq|black_sq|b_knight|b_bishop|white_sq|w_queen/b_rook|b_bishop|black_sq|white_sq|b_king|white_sq|b_pawn|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|b_queen|w_bishop/black_sq|w_pawn|black_sq|white_sq|b_pawn|b_pawn|black_sq|b_pawn/w_pawn|black_sq|b_pawn|b_pawn|w_pawn|black_sq|white_sq|w_pawn/w_rook|white_sq|w_pawn|w_bishop|black_sq|w_pawn|w_pawn|white_sq/white_sq|black_sq|white_sq|black_sq|w_king|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|w_knight|w_rook
quad_w_queen_017,q1,3,"[[4, 6]]",8,8,white_sq|b_rook|white_sq|black_sq|b_rook|black_sq|white_sq|black_sq/b_knight|white_sq|black_sq|b_queen|b_king|white_sq|black_sq|b_pawn/white_sq|b_pawn|white_sq|b_pawn|b_pawn|b_pawn|white_sq|b_bishop/black_sq|w_pawn|black_sq|w_pawn|w_pawn|white_sq|b_pawn|b_bishop/white_sq|black_sq|white_sq|black_sq|white_sq|w_pawn|w_queen|w_pawn/w_pawn|w_knight|b_pawn|white_sq|black_sq|w_bishop|black_sq|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/w_rook|w_knight|w_bishop|white_sq|black_sq|white_sq|w_king|w_rook
quad_w_queen_018,q1,3,"[[6, 5]]",8,8,white_sq|black_sq|b_bishop|b_king|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|b_knight|black_sq|w_pawn|black_sq|white_sq/b_pawn|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|b_pawn/black_sq|b_rook|w_pawn|white_sq|black_sq|b_queen|w_rook|w_pawn/w_pawn|w_pawn|white_sq|black_sq|white_sq|w_pawn|white_sq|black_sq/black_sq|white_sq|black_sq|w_bishop|w_pawn|white_sq|black_sq|white_sq/white_sq|w_king|white_sq|black_sq|white_sq|w_queen|white_sq|black_sq/w_bishop|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq
quad_w_queen_019,q1,2,"[[4, 0]]",8,8,b_rook|black_sq|b_bishop|black_sq|white_sq|black_sq|white_sq|b_rook/black_sq|white_sq|b_pawn|b_knight|black_sq|white_sq|black_sq|b_pawn/b_pawn|b_pawn|white_sq|black_sq|white_sq|black_sq|b_king|b_knight/black_sq|white_sq|w_knight|white_sq|b_pawn|white_sq|black_sq|white_sq/w_queen|black_sq|white_sq|black_sq|w_pawn|b_pawn|white_sq|black_sq/w_rook|w_pawn|w_pawn|white_sq|black_sq|white_sq|w_pawn|white_sq/white_sq|black_sq|white_sq|w_pawn|white_sq|black_sq|w_pawn|w_pawn/black_sq|w_knight|w_bishop|white_sq|w_king|white_sq|black_sq|w_rook
quad_w_queen_020,q1,0,"[[0, 3]]",8,8,white_sq|black_sq|white_sq|w_queen|white_sq|b_king|white_sq|b_rook/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|b_pawn/white_sq|black_sq|w_knight|w_pawn|b_pawn|black_sq|b_pawn|black_sq/black_sq|white_sq|b_rook|white_sq|black_sq|b_pawn|black_sq|white_sq/w_pawn|black_sq|w_pawn|black_sq|b_bishop|w_pawn|white_sq|black_sq/black_sq|w_king|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|w_knight|white_sq|black_sq|white_sq|black_sq/b_bishop|white_sq|black_sq|w_rook|w_bishop|white_sq|black_sq|b_knight
quad_w_queen_021,q1,1,"[[1, 6]]",8,8,white_sq|black_sq|b_bishop|black_sq|white_sq|b_knight|b_king|b_bishop/black_sq|white_sq|black_sq|w_rook|black_sq|white_sq|w_queen|white_sq/white_sq|w_pawn|b_pawn|black_sq|b_rook|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|b_pawn|w_pawn|b_queen|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|w_pawn|white_sq|black_sq/w_knight|white_sq|w_pawn|w_pawn|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|w_bishop|w_pawn|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|w_king|white_sq|black_sq|white_sq
quad_w_queen_022,q1,1,"[[3, 4]]",8,8,b_rook|black_sq|b_knight|black_sq|white_sq|black_sq|white_sq|black_sq/b_pawn|w_bishop|black_sq|white_sq|black_sq|white_sq|black_sq|b_king/white_sq|b_pawn|white_sq|black_sq|white_sq|b_queen|white_sq|b_bishop/black_sq|white_sq|black_sq|white_sq|w_queen|b_bishop|black_sq|white_sq/white_sq|black_sq|w_pawn|b_pawn|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|w_pawn|black_sq|white_sq|w_bishop|white_sq/w_rook|w_pawn|white_sq|w_king|w_knight|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq
quad_w_queen_023,q1,3,"[[5, 4]]",8,8,white_sq|b_knight|white_sq|black_sq|white_sq|black_sq|b_knight|b_rook/b_rook|white_sq|b_pawn|white_sq|b_king|b_pawn|b_bishop|b_queen/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/black_sq|w_knight|black_sq|white_sq|w_pawn|white_sq|b_pawn|white_sq/white_sq|black_sq|b_pawn|black_sq|w_pawn|black_sq|w_pawn|b_pawn/b_pawn|white_sq|black_sq|w_bishop|w_queen|white_sq|black_sq|white_sq/w_pawn|w_pawn|white_sq|w_bishop|white_sq|w_pawn|white_sq|w_pawn/black_sq|w_king|black_sq|w_rook|black_sq|white_sq|w_knight|w_rook
quad_w_queen_024,q1,2,"[[5, 2]]",8,8,b_rook|black_sq|b_bishop|black_sq|b_king|b_bishop|b_knight|b_rook/b_pawn|white_sq|black_sq|b_pawn|b_pawn|b_pawn|black_sq|white_sq/b_knight|black_sq|b_pawn|black_sq|white_sq|black_sq|b_pawn|b_pawn/black_sq|w_knight|black_sq|white_sq|black_sq|white_sq|w_pawn|white_sq/white_sq|w_pawn|white_sq|black_sq|white_sq|black_sq|white_sq|b_queen/w_pawn|white_sq|w_queen|white_sq|black_sq|white_sq|black_sq|w_bishop/white_sq|black_sq|w_pawn|w_pawn|w_pawn|w_pawn|white_sq|w_pawn/w_rook|white_sq|w_bishop|white_sq|w_king|white_sq|w_knight|w_rook
quad_w_queen_025,q1,1,"[[0, 4]]",8,8,b_rook|b_knight|b_bishop|black_sq|w_queen|black_sq|white_sq|b_bishop/black_sq|white_sq|black_sq|b_knight|black_sq|b_king|black_sq|white_sq/b_pawn|b_pawn|white_sq|black_sq|b_pawn|b_rook|white_sq|black_sq/w_pawn|w_rook|w_pawn|b_pawn|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|w_bishop|w_pawn|black_sq|w_pawn|black_sq/w_knight|white_sq|black_sq|white_sq|black_sq|w_pawn|black_sq|w_knight/white_sq|w_pawn|w_pawn|w_king|white_sq|black_sq|white_sq|b_pawn/black_sq|white_sq|black_sq|white_sq|black_sq|w_bishop|black_sq|white_sq
quad_w_queen_026,q1,0,"[[1, 3]]",8,8,white_sq|black_sq|white_sq|black_sq|b_rook|black_sq|white_sq|b_rook/black_sq|white_sq|b_king|w_queen|black_sq|b_knight|black_sq|white_sq/white_sq|black_sq|w_pawn|black_sq|white_sq|black_sq|white_sq|black_sq/b_pawn|white_sq|w_bishop|w_bishop|b_pawn|white_sq|b_pawn|white_sq/w_pawn|black_sq|white_sq|black_sq|b_pawn|black_sq|white_sq|black_sq/w_king|w_pawn|w_pawn|white_sq|w_pawn|white_sq|black_sq|b_pawn/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|b_bishop|white_sq|black_sq|white_sq
quad_w_queen_027,q1,0,"[[2, 1]]",8,8,white_sq|black_sq|white_sq|b_knight|b_rook|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq/white_sq|w_queen|w_knight|b_pawn|b_pawn|b_pawn|b_queen|black_sq/b_rook|b_bishop|w_pawn|b_king|black_sq|white_sq|b_pawn|w_pawn/b_pawn|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|w_pawn/w_pawn|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|w_rook/w_pawn|w_rook|white_sq|black_sq|w_pawn|w_pawn|w_king|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq
quad_w_queen_028,q1,2,"[[6, 2]]",8,8,white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|b_knight|black_sq/black_sq|b_king|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/w_bishop|b_pawn|black_sq|white_sq|b_pawn|white_sq|black_sq|white_sq/w_pawn|black_sq|white_sq|black_sq|w_pawn|b_rook|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|w_king|w_pawn|black_sq|b_bishop/white_sq|black_sq|w_queen|b_rook|white_sq|black_sq|w_bishop|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|w_knight|w_rook
quad_w_queen_029,q1,2,"[[7, 2]]",8,8,b_rook|black_sq|b_bishop|black_sq|b_king|black_sq|white_sq|black_sq/black_sq|white_sq|b_pawn|b_queen|w_bishop|white_sq|black_sq|white_sq/b_pawn|b_pawn|b_knight|w_pawn|white_sq|black_sq|white_sq|b_rook/black_sq|white_sq|black_sq|white_sq|w_knight|b_pawn|b_pawn|white_sq/white_sq|w_pawn|white_sq|w_pawn|b_knight|black_sq|white_sq|b_pawn/black_sq|white_sq|w_pawn|white_sq|black_sq|white_sq|black_sq|white_sq/w_pawn|black_sq|white_sq|black_sq|white_sq|w_pawn|w_pawn|w_pawn/w_rook|w_knight|w_queen|white_sq|w_king|w_bishop|w_rook|white_sq
quad_w_queen_030,q1,1,"[[1, 6]]",8,8,b_rook|b_knight|white_sq|b_queen|b_king|b_bishop|b_rook|black_sq/b_pawn|b_pawn|b_pawn|b_knight|b_pawn|white_sq|w_queen|b_pawn/white_sq|black_sq|white_sq|black_sq|white_sq|b_pawn|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|b_bishop|b_pawn|white_sq/white_sq|black_sq|b_pawn|w_pawn|white_sq|black_sq|white_sq|black_sq/w_pawn|w_pawn|black_sq|white_sq|black_sq|white_sq|w_pawn|w_knight/white_sq|black_sq|white_sq|black_sq|w_pawn|w_pawn|w_bishop|w_pawn/w_rook|w_knight|w_bishop|w_king|black_sq|white_sq|black_sq|w_rook
quad_w_queen_031,q1,0,"[[1, 1]]",8,8,b_rook|black_sq|b_bishop|black_sq|white_sq|black_sq|white_sq|b_rook/black_sq|w_queen|b_pawn|b_knight|black_sq|white_sq|black_sq|b_pawn/b_pawn|b_pawn|white_sq|black_sq|white_sq|black_sq|b_king|b_knight/black_sq|white_sq|w_knight|white_sq|b_pawn|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|black_sq|w_pawn|b_pawn|white_sq|black_sq/w_rook|w_pawn|w_pawn|white_sq|black_sq|white_sq|w_pawn|white_sq/white_sq|black_sq|white_sq|w_pawn|white_sq|black_sq|w_pawn|w_pawn/black_sq|w_knight|w_bishop|white_sq|w_king|white_sq|black_sq|w_rook
quad_w_queen_032,q1,1,"[[3, 6]]",8,8,white_sq|black_sq|white_sq|black_sq|b_king|black_sq|white_sq|black_sq/b_knight|white_sq|black_sq|white_sq|b_bishop|white_sq|black_sq|b_pawn/b_rook|w_pawn|w_bishop|black_sq|white_sq|b_pawn|b_rook|b_knight/black_sq|white_sq|black_sq|white_sq|b_pawn|white_sq|w_queen|white_sq/b_pawn|black_sq|w_pawn|w_pawn|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq/w_pawn|black_sq|white_sq|black_sq|white_sq|w_king|w_pawn|w_pawn/w_rook|white_sq|black_sq|w_rook|black_sq|white_sq|black_sq|white_sq
quad_w_queen_033,q1,2,"[[7, 0]]",8,8,white_sq|black_sq|white_sq|b_king|white_sq|b_bishop|b_queen|b_rook/b_pawn|white_sq|black_sq|white_sq|black_sq|white_sq|b_rook|b_pawn/white_sq|black_sq|white_sq|black_sq|white_sq|b_pawn|white_sq|black_sq/w_pawn|white_sq|black_sq|white_sq|b_pawn|white_sq|w_pawn|white_sq/white_sq|b_pawn|b_pawn|w_knight|white_sq|black_sq|b_pawn|w_knight/black_sq|white_sq|w_pawn|w_pawn|w_pawn|white_sq|w_pawn|white_sq/white_sq|w_pawn|white_sq|w_bishop|white_sq|black_sq|white_sq|w_rook/w_queen|white_sq|black_sq|w_rook|w_king|w_bishop|black_sq|white_sq
quad_w_queen_034,q1,0,"[[2, 3]]",8,8,white_sq|b_rook|b_bishop|black_sq|white_sq|b_queen|white_sq|black_sq/black_sq|white_sq|black_sq|white_sq|b_pawn|b_king|black_sq|white_sq/b_knight|black_sq|b_pawn|w_queen|white_sq|black_sq|white_sq|b_pawn/black_sq|white_sq|black_sq|white_sq|black_sq|b_pawn|black_sq|white_sq/w_pawn|w_pawn|white_sq|black_sq|b_pawn|w_knight|white_sq|b_rook/w_rook|white_sq|black_sq|w_rook|black_sq|w_knight|black_sq|white_sq/white_sq|black_sq|w_king|black_sq|w_bishop|b_knight|w_pawn|black_sq/black_sq|white_sq|w_bishop|white_sq|black_sq|white_sq|black_sq|white_sq
quad_w_queen_035,q1,2,"[[6, 3]]",8,8,white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/b_king|white_sq|black_sq|white_sq|b_pawn|white_sq|black_sq|white_sq/white_sq|b_pawn|white_sq|black_sq|white_sq|b_pawn|white_sq|black_sq/b_pawn|white_sq|black_sq|w_bishop|w_knight|white_sq|black_sq|white_sq/w_pawn|black_sq|white_sq|black_sq|w_pawn|b_bishop|b_rook|black_sq/black_sq|white_sq|black_sq|white_sq|b_queen|white_sq|black_sq|w_pawn/white_sq|black_sq|white_sq|w_queen|white_sq|black_sq|white_sq|black_sq/black_sq|white_sq|w_rook|white_sq|black_sq|b_bishop|black_sq|w_king
quad_w_queen_036,q1,3,"[[6, 6]]",8,8,b_rook|b_knight|white_sq|black_sq|white_sq|black_sq|b_rook|black_sq/b_pawn|b_bishop|black_sq|white_sq|black_sq|white_sq|b_queen|b_pawn/white_sq|black_sq|white_sq|black_sq|b_king|b_knight|w_pawn|b_bishop/w_pawn|white_sq|w_pawn|b_pawn|black_sq|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|black_sq|white_sq|black_sq|white_sq|black_sq/black_sq|w_pawn|black_sq|w_bishop|w_pawn|w_knight|black_sq|white_sq/white_sq|black_sq|white_sq|w_king|white_sq|w_pawn|w_queen|black_sq/black_sq|white_sq|black_sq|white_sq|w_rook|white_sq|black_sq|w_rook
quad_w_queen_037,q1,1,"[[1, 4]]",8,8,white_sq|black_sq|b_knight|black_sq|b_king|black_sq|white_sq|black_sq/b_rook|white_sq|b_pawn|white_sq|w_queen|b_pawn|black_sq|white_sq/white_sq|b_pawn|white_sq|black_sq|w_pawn|black_sq|white_sq|black_sq/b_pawn|b_queen|black_sq|b_pawn|black_sq|white_sq|black_sq|w_knight/w_pawn|w_pawn|white_sq|w_pawn|white_sq|black_sq|b_bishop|black_sq/w_rook|white_sq|black_sq|white_sq|w_pawn|white_sq|black_sq|white_sq/white_sq|black_sq|white_sq|w_rook|w_bishop|black_sq|white_sq|black_sq/black_sq|white_sq|w_bishop|w_king|black_sq|white_sq|black_sq|white_sq
