image_id,qid,answer,ablate_cells,board_rows,board_cols,board
0212,q1,0,"[[3, 0]]",9,9,0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0
0247,q1,0,"[[1, 0]]",9,9,0|0|0|0|0|Q|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0
0251,q1,0,"[[3, 0]]",9,9,0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0
0254,q1,0,"[[0, 0]]",9,9,Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0
0275,q1,0,"[[4, 0]]",9,9,0|0|0|Q|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0
0281,q1,1,"[[7, 0]]",9,9,0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0
0297,q1,0,"[[2, 0]]",9,9,0|0|0|Q|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0
0324,q1,1,"[[5, 0]]",9,9,0|0|Q|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0
0353,q1,1,"[[8, 0]]",9,9,0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0
0361,q1,1,"[[5, 0]]",9,9,0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0
0368,q1,0,"[[0, 0]]",9,9,Q|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0
0374,q1,1,"[[7, 0]]",9,9,0|0|0|Q|0|0|0|0|0/0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0
0383,q1,1,"[[7, 0]]",9,9,0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0/Q|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0
0450,q1,0,"[[1, 0]]",10,10,0|0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|Q|0|0
0478,q1,0,"[[4, 0]]",10,10,0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0
0507,q1,1,"[[5, 0]]",10,10,0|0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0|0
0572,q1,0,"[[0, 0]]",10,10,Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0
0584,q1,0,"[[0, 0]]",10,10,Q|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0
0585,q1,1,"[[9, 0]]",10,10,0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0/Q|0|0|0|0|0|0|0|0|0
0628,q1,0,"[[2, 0]]",10,10,0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0
0651,q1,1,"[[6, 0]]",10,10,0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|Q|0|0|0|0|0
0674,q1,1,"[[5, 0]]",10,10,0|0|0|0|Q|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|Q|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|Q|0|0
0678,q1,0,"[[3, 0]]",10,10,0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0|0
0746,q1,1,"[[7, 0]]",10,10,0|0|0|0|Q|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0
0755,q1,0,"[[2, 0]]",10,10,0|0|0|0|Q|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0
0787,q1,1,"[[6, 0]]",10,10,0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0
0792,q1,0,"[[3, 0]]",10,10,0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0|0
0824,q1,0,"[[4, 0]]",10,10,0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|Q|0|0|0|0|0|0
0857,q1,1,"[[9, 0]]",10,10,0|0|0|0|0|0|Q|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0
0889,q1,0,"[[1, 0]]",10,10,0|0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0
0905,q1,1,"[[6, 0]]",10,10,0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0
0907,q1,0,"[[0, 0]]",10,10,Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0
0909,q1,1,"[[6, 0]]",10,10,0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0
0938,q1,1,"[[7, 0]]",10,10,0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0
0944,q1,1,"[[6, 0]]",10,10,0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0
0964,q1,1,"[[8, 0]]",10,10,0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0
0987,q1,1,"[[5, 0]]",10,10,0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0
1054,q1,0,"[[2, 0]]",10,10,0|0|0|0|0|0|Q|0|0|0/0|0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0
1078,q1,1,"[[6, 0]]",10,10,0|0|0|0|Q|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0
1080,q1,0,"[[4, 0]]",10,10,0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|Q|0|0|0|0|0|0|0
1083,q1,0,"[[3, 0]]",10,10,0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0
1089,q1,0,"[[3, 0]]",10,10,0|0|0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0
1118,q1,0,"[[4, 0]]",10,10,0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0/0|0|0|0|Q|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0
1179,q1,0,"[[5, 0]]",11,11,0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0
1182,q1,1,"[[10, 0]]",11,11,0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/Q|0|0|0|0|0|0|0|0|0|0
1233,q1,1,"[[6, 0]]",11,11,0|0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0|0
1244,q1,0,"[[1, 0]]",11,11,0|0|0|0|0|0|0|Q|0|0|0/Q|0|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0
1273,q1,0,"[[0, 0]]",11,11,Q|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0
1289,q1,1,"[[10, 0]]",11,11,0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0|0
1290,q1,1,"[[7, 0]]",11,11,0|0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|0|0|0|0|Q|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|0|0|Q|0|0|0|0|0|0
1292,q1,1,"[[10, 0]]",11,11,0|0|0|0|0|0|Q|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|0|0|Q|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0|0
1323,q1,1,"[[7, 0]]",11,11,0|0|0|0|0|0|0|0|Q|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|Q|0|0|0|0|0/0|0|Q|0|0|0|0|0|0|0|0
1333,q1,1,"[[9, 0]]",11,11,0|0|0|0|0|Q|0|0|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|0|Q|0|0|0|0|0|0/0|Q|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|0|Q|0|0/0|0|Q|0|0|0|0|0|0|0|0/0|0|0|0|0|0|0|Q|0|0|0/0|0|0|0|0|0|0|0|0|0|0/0|0|0|Q|0|0|0|0|0|0|0/Q|0|0|0|0|0|0|0|0|0|0/0|0|0|0|0|0|Q|0|0|0|0
